map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,planner_type,path_role
mixed_shapes,1,False,True,10.018669,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
mixed_shapes,4,True,False,10.042072,14.839983,110,14.839983,0.000000,0,15.110293,7.112226,rrt_star,fastest time
mixed_shapes,7,True,False,10.062621,14.422239,108,13.762677,0.659562,4,15.072745,6.070181,rrt_star,fastest time
mixed_shapes,10,True,False,10.005534,13.291999,99,12.852748,0.439251,4,14.725198,5.343924,rrt_star,fastest time
mixed_shapes,13,True,False,10.033002,15.889961,119,10.167518,5.722443,6,13.109277,6.159669,rrt_star,fastest time
mixed_shapes,16,True,False,10.006603,15.082523,115,13.743657,1.338865,8,16.712881,6.468432,rrt_star,fastest time
mixed_shapes,19,True,False,10.006888,14.394772,106,13.579489,0.815284,2,15.084804,6.060732,rrt_star,fastest time
mixed_shapes,22,True,False,10.015501,13.477631,100,13.125694,0.351937,2,14.410331,5.548085,rrt_star,fastest time
mixed_shapes,25,True,False,10.051384,13.198624,97,12.979837,0.218787,2,13.888891,5.387559,rrt_star,fastest time
mixed_shapes,28,True,False,10.009191,14.869414,113,14.486269,0.383146,6,15.213401,7.401658,rrt_star,fastest time
mixed_shapes,31,True,False,10.036560,14.625515,112,13.575872,1.049643,6,15.729458,6.410611,rrt_star,fastest time
mixed_shapes,34,True,False,10.015340,13.423249,99,13.423249,0.000000,0,13.819247,6.414289,rrt_star,fastest time
mixed_shapes,1,False,True,10.047885,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
mixed_shapes,4,True,False,10.007247,14.839983,110,14.839983,0.000000,0,15.110293,7.112226,rrt_star,lowest uncertainty
mixed_shapes,7,True,False,10.000271,14.422239,108,13.762677,0.659562,4,15.072745,6.070181,rrt_star,lowest uncertainty
mixed_shapes,10,True,False,10.014045,13.291999,99,12.852748,0.439251,4,14.725198,5.343924,rrt_star,lowest uncertainty
mixed_shapes,13,True,False,10.005973,15.889961,119,10.167518,5.722443,6,13.109277,6.159669,rrt_star,lowest uncertainty
mixed_shapes,16,True,False,10.018567,15.082523,115,13.743657,1.338865,8,16.712881,6.468432,rrt_star,lowest uncertainty
mixed_shapes,19,True,False,10.028705,14.300979,106,13.485695,0.815284,2,14.912595,6.075305,rrt_star,lowest uncertainty
mixed_shapes,22,True,False,10.050280,13.477631,100,13.125694,0.351937,2,14.410331,5.548085,rrt_star,lowest uncertainty
mixed_shapes,25,True,False,10.043070,13.198624,97,12.979837,0.218787,2,13.888891,5.387559,rrt_star,lowest uncertainty
mixed_shapes,28,True,False,10.045670,14.869414,113,14.486269,0.383146,6,15.213401,7.401658,rrt_star,lowest uncertainty
mixed_shapes,31,True,False,10.021821,14.625515,112,13.575872,1.049643,6,15.729458,6.410611,rrt_star,lowest uncertainty
mixed_shapes,34,True,False,10.009115,13.423249,99,13.423249,0.000000,0,13.819247,6.414289,rrt_star,lowest uncertainty
narrow_passage,1,True,False,10.003046,16.125527,119,15.693225,0.432302,4,15.908696,6.831391,rrt_star,shortest distance
narrow_passage,4,True,False,10.001754,15.965165,119,15.602932,0.362233,4,15.256172,6.756508,rrt_star,shortest distance
narrow_passage,7,True,False,10.003700,16.365874,122,15.725218,0.640656,4,16.055291,6.816943,rrt_star,shortest distance
narrow_passage,10,True,False,10.003321,16.252613,121,15.786968,0.465645,4,15.827885,6.852121,rrt_star,shortest distance
narrow_passage,13,True,False,10.005267,15.992000,120,15.653122,0.338878,6,15.051323,6.667286,rrt_star,shortest distance
narrow_passage,16,True,False,10.005187,16.000106,119,15.544805,0.455301,4,15.789722,6.607031,rrt_star,shortest distance
narrow_passage,19,True,False,10.001251,16.969068,124,16.502989,0.466079,2,15.882124,7.058388,rrt_star,shortest distance
narrow_passage,22,True,False,10.001714,16.387122,120,15.794866,0.592256,4,15.879055,6.828928,rrt_star,shortest distance
narrow_passage,25,True,False,10.000116,16.105433,118,15.657051,0.448382,4,15.593561,6.756457,rrt_star,shortest distance
narrow_passage,28,True,False,10.001791,15.908357,118,15.494746,0.413612,4,15.826206,6.616268,rrt_star,shortest distance
narrow_passage,31,True,False,10.000064,16.160404,120,15.605878,0.554526,3,16.149454,6.681052,rrt_star,shortest distance
narrow_passage,34,True,False,10.011184,16.367062,121,15.926880,0.440182,4,15.531331,6.658805,rrt_star,shortest distance
narrow_passage,1,True,False,10.024775,18.080568,133,17.320356,0.760212,4,16.784856,7.397879,rrt_star,fastest time
narrow_passage,4,True,False,10.024053,19.382424,144,13.591782,5.790642,6,17.763107,7.900786,rrt_star,fastest time
narrow_passage,7,True,False,10.006816,18.613952,142,12.021560,6.592392,8,18.115883,7.299717,rrt_star,fastest time
narrow_passage,10,True,False,10.039326,18.568267,137,9.999937,8.568330,2,17.446537,7.370973,rrt_star,fastest time
narrow_passage,13,True,False,10.040510,17.505297,130,16.838477,0.666821,6,16.036706,7.250489,rrt_star,fastest time
narrow_passage,16,True,False,10.002527,18.998098,141,5.028879,13.969219,6,19.562086,9.673789,rrt_star,fastest time
narrow_passage,19,True,False,10.012494,18.157607,133,9.390940,8.766667,4,18.353937,6.933811,rrt_star,fastest time
narrow_passage,22,True,False,10.047822,18.740308,139,9.840448,8.899859,4,17.900525,6.929185,rrt_star,fastest time
narrow_passage,25,True,False,10.039648,18.187575,133,10.137407,8.050168,2,17.254145,7.327794,rrt_star,fastest time
narrow_passage,28,True,False,10.034405,18.764587,140,17.648221,1.116366,4,17.339714,7.486150,rrt_star,fastest time
narrow_passage,31,True,False,10.050327,18.232639,136,9.718628,8.514012,4,17.803122,6.846256,rrt_star,fastest time
narrow_passage,34,True,False,10.030919,18.149731,136,17.184174,0.965558,8,17.883937,7.408092,rrt_star,fastest time
narrow_passage,1,True,False,10.017162,18.080568,133,17.320356,0.760212,4,16.784856,7.397879,rrt_star,lowest uncertainty
narrow_passage,4,True,False,10.013453,19.382424,144,13.591782,5.790642,6,17.763107,7.900786,rrt_star,lowest uncertainty
narrow_passage,7,True,False,10.042437,18.955311,141,12.400490,6.554821,6,18.046693,7.467771,rrt_star,lowest uncertainty
narrow_passage,10,True,False,10.054668,18.568267,137,9.999937,8.568330,2,17.446537,7.370973,rrt_star,lowest uncertainty
narrow_passage,13,True,False,10.042416,17.505297,130,16.838477,0.666821,6,16.036706,7.250489,rrt_star,lowest uncertainty
narrow_passage,16,True,False,10.002637,18.998098,141,5.028879,13.969219,6,19.562086,9.673789,rrt_star,lowest uncertainty
narrow_passage,19,True,False,10.000624,18.157607,133,9.390940,8.766667,4,18.353937,6.933811,rrt_star,lowest uncertainty
narrow_passage,22,True,False,10.026528,18.712222,138,9.840448,8.871773,4,17.584396,7.121154,rrt_star,lowest uncertainty
narrow_passage,25,True,False,10.037145,18.187575,133,10.137407,8.050168,2,17.254145,7.327794,rrt_star,lowest uncertainty
narrow_passage,28,True,False,10.050713,18.764587,140,17.648221,1.116366,4,17.339714,7.486150,rrt_star,lowest uncertainty
narrow_passage,31,True,False,10.041105,18.232639,136,9.718628,8.514012,4,17.803122,6.846256,rrt_star,lowest uncertainty
narrow_passage,34,True,False,10.044666,18.149731,136,17.184174,0.965558,8,17.883937,7.408092,rrt_star,lowest uncertainty
parking_lot,1,True,False,10.002077,7.967352,58,7.967352,0.000000,0,8.426093,2.953032,rrt_star,shortest distance
parking_lot,4,True,False,10.000150,8.113167,60,8.113167,0.000000,0,8.728530,3.032207,rrt_star,shortest distance
parking_lot,7,True,False,10.001015,7.928592,59,7.928592,0.000000,0,8.422531,2.898390,rrt_star,shortest distance
parking_lot,10,True,False,10.005043,7.895473,59,7.895473,0.000000,0,8.371600,2.820589,rrt_star,shortest distance
parking_lot,13,True,False,10.000945,7.990411,59,7.990411,0.000000,0,8.520311,2.745862,rrt_star,shortest distance
parking_lot,16,True,False,10.002508,7.868158,58,7.868158,0.000000,0,8.406494,2.769510,rrt_star,shortest distance
parking_lot,19,True,False,10.003975,7.950876,60,7.950876,0.000000,0,8.506873,2.915569,rrt_star,shortest distance
parking_lot,22,True,False,10.005424,7.922393,58,7.922393,0.000000,0,8.446516,3.051054,rrt_star,shortest distance
parking_lot,25,True,False,10.000653,7.835120,59,7.835120,0.000000,0,8.348567,2.678527,rrt_star,shortest distance
parking_lot,28,True,False,10.000197,8.009939,59,8.009939,0.000000,0,8.544226,3.023678,rrt_star,shortest distance
parking_lot,31,True,False,10.002970,8.004000,59,8.004000,0.000000,0,8.587837,2.953434,rrt_star,shortest distance
parking_lot,34,True,False,10.001063,8.097047,60,8.097047,0.000000,0,8.595071,3.163256,rrt_star,shortest distance
parking_lot,1,True,False,10.040962,8.600397,64,8.600397,0.000000,0,8.702472,3.530327,rrt_star,fastest time
parking_lot,4,True,False,10.061257,8.493699,63,8.493699,0.000000,0,8.696713,3.503126,rrt_star,fastest time
parking_lot,7,True,False,10.014251,8.498439,63,8.315459,0.182980,4,9.170051,3.118688,rrt_star,fastest time
parking_lot,10,False,True,10.024957,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
parking_lot,13,True,False,10.000991,8.435033,62,8.435033,0.000000,0,8.840492,3.397025,rrt_star,fastest time
parking_lot,16,True,False,10.014236,8.078884,60,8.078884,0.000000,0,8.482996,3.205835,rrt_star,fastest time
parking_lot,19,True,False,10.004124,8.077721,59,8.077721,0.000000,0,8.560420,2.928211,rrt_star,fastest time
parking_lot,22,True,False,10.009857,8.104873,59,8.104873,0.000000,0,8.552256,3.054212,rrt_star,fastest time
parking_lot,25,True,False,10.022281,9.047547,66,8.632447,0.415101,2,9.584247,3.445014,rrt_star,fastest time
parking_lot,28,True,False,10.044858,8.053513,60,8.053513,0.000000,0,8.547387,3.075084,rrt_star,fastest time
parking_lot,31,True,False,10.013947,8.494992,65,8.355495,0.139497,2,9.157722,2.885433,rrt_star,fastest time
parking_lot,34,True,False,10.012902,8.359686,61,8.359686,0.000000,0,8.866290,3.249891,rrt_star,fastest time
parking_lot,1,True,False,10.037753,8.600397,64,8.600397,0.000000,0,8.702472,3.530327,rrt_star,lowest uncertainty
parking_lot,4,True,False,10.057096,8.493699,63,8.493699,0.000000,0,8.696713,3.503126,rrt_star,lowest uncertainty
parking_lot,7,True,False,10.009601,8.498439,63,8.315459,0.182980,4,9.170051,3.118688,rrt_star,lowest uncertainty
parking_lot,10,False,True,10.003631,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
parking_lot,13,True,False,10.010739,8.622903,63,8.622903,0.000000,0,8.864195,3.504291,rrt_star,lowest uncertainty
parking_lot,16,True,False,10.036767,8.078884,60,8.078884,0.000000,0,8.482996,3.205835,rrt_star,lowest uncertainty
parking_lot,19,True,False,10.041587,8.077721,59,8.077721,0.000000,0,8.560420,2.928211,rrt_star,lowest uncertainty
parking_lot,22,True,False,10.021636,8.335941,61,8.335941,0.000000,0,8.644757,3.418708,rrt_star,lowest uncertainty
parking_lot,25,True,False,10.033141,9.047547,66,8.632447,0.415101,2,9.584247,3.445014,rrt_star,lowest uncertainty
parking_lot,28,True,False,10.042569,8.172499,60,8.172499,0.000000,0,8.618372,3.294710,rrt_star,lowest uncertainty
parking_lot,31,True,False,10.018309,8.494992,65,8.355495,0.139497,2,9.157722,2.885433,rrt_star,lowest uncertainty
parking_lot,34,True,False,10.013256,8.359686,61,8.359686,0.000000,0,8.866290,3.249891,rrt_star,lowest uncertainty
cluttered_random,1,False,True,10.004060,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,4,False,True,10.001947,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,7,False,True,10.009610,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,10,False,True,10.000880,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,13,False,True,10.005073,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,16,False,True,10.008705,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,19,False,True,10.005795,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,22,False,True,10.000127,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,25,False,True,10.002888,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,28,False,True,10.000518,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,31,False,True,10.010235,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,34,False,True,10.000219,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,shortest distance
cluttered_random,1,False,True,10.015724,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,4,False,True,10.017080,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,7,False,True,10.018559,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,10,False,True,10.044454,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,13,False,True,10.030189,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,16,False,True,10.026796,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,19,False,True,10.020181,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,22,False,True,10.010761,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,25,False,True,10.029046,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,28,False,True,10.011716,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,31,False,True,10.042911,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,34,False,True,10.021250,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,fastest time
cluttered_random,1,False,True,10.050342,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,4,False,True,10.023572,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,7,False,True,10.002163,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,10,False,True,10.031124,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,13,False,True,10.047923,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,16,False,True,10.020197,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,19,False,True,10.010764,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,22,False,True,10.031099,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,25,False,True,10.034575,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,28,False,True,10.017389,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,31,False,True,10.030524,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
cluttered_random,34,False,True,10.002756,0.000000,0,0.000000,0.000000,0,inf,inf,rrt_star,lowest uncertainty
