map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count
empty,1,True,False,0.000294,14.408643,94
empty,4,True,False,0.000256,12.013483,78
empty,7,True,False,0.000234,11.604273,75
empty,10,True,False,0.000247,12.473205,81
empty,13,True,False,0.000245,11.846448,77
circle_field,1,True,False,0.000807,23.498960,154
circle_field,4,True,False,0.000666,14.940573,97
circle_field,7,True,False,0.000507,16.984096,113
circle_field,10,True,False,0.000242,12.473205,81
circle_field,13,True,False,0.000416,18.369999,120
rectangle_field,1,True,False,0.000499,15.594768,101
rectangle_field,4,True,False,0.000586,20.359906,134
rectangle_field,7,True,False,0.000708,19.560145,129
rectangle_field,10,True,False,0.000648,15.906456,104
rectangle_field,13,True,False,0.000474,15.175098,101
mixed_shapes,1,True,False,0.000518,15.670819,102
mixed_shapes,4,True,False,0.000577,17.375561,114
mixed_shapes,7,True,False,0.000465,16.501914,110
mixed_shapes,10,True,False,0.001186,19.644423,128
mixed_shapes,13,True,False,0.000750,16.382517,108
narrow_passage,1,True,False,0.001197,17.501290,116
narrow_passage,4,True,False,0.001218,19.888749,133
narrow_passage,7,True,False,0.003224,24.558831,164
narrow_passage,10,True,False,0.000861,16.635108,108
narrow_passage,13,True,False,0.002821,17.685186,118
maze,1,True,False,0.002025,18.550504,123
maze,4,True,False,0.004618,17.965776,119
maze,7,True,False,0.007409,21.710736,144
maze,10,True,False,0.004740,23.835874,157
maze,13,True,False,0.004057,20.134850,131
parking_lot,1,True,False,0.000713,12.545286,84
parking_lot,4,True,False,0.000323,12.888875,86
parking_lot,7,True,False,0.000699,14.074884,91
parking_lot,10,True,False,0.000196,8.615682,56
parking_lot,13,True,False,0.000934,11.698647,77
cluttered_random,1,True,False,0.045075,22.654837,151
cluttered_random,4,True,False,1.018309,23.618441,160
cluttered_random,7,True,False,0.548409,23.377144,161
cluttered_random,10,True,False,0.225133,28.621482,193
cluttered_random,13,True,False,0.502951,22.373273,152
blocked,1,False,True,2.000519,0.000000,0
blocked,4,False,True,2.000830,0.000000,0
blocked,7,False,True,2.000367,0.000000,0
blocked,10,False,True,2.000563,0.000000,0
blocked,13,False,True,2.000488,0.000000,0
