map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,overall_score,planner_type,path_role
empty,28,True,False,10.046009,12.181848,85,12.115208,0.066641,2,11.304979,7.604273,1.177810,rrt_star,overall best
empty,31,True,False,10.005041,12.538251,87,12.394047,0.144204,1,10.673910,6.393885,1.083560,rrt_star,overall best
empty,34,True,False,10.000285,12.137288,84,12.013517,0.123771,1,12.064050,7.418499,1.183259,rrt_star,overall best
mixed_shapes,1,True,False,10.005437,12.603769,88,12.227037,0.376732,2,11.040138,6.615196,1.125945,rrt_star,shortest distance
mixed_shapes,4,True,False,10.005252,13.036738,91,12.615502,0.421236,2,10.919269,7.077542,1.161170,rrt_star,shortest distance
mixed_shapes,7,True,False,10.000264,12.896010,91,12.404372,0.491638,2,11.366775,6.734710,1.154153,rrt_star,shortest distance
mixed_shapes,10,True,False,10.007717,12.773169,88,12.374067,0.399102,1,11.331334,6.557733,1.127372,rrt_star,shortest distance
mixed_shapes,13,True,False,10.003688,12.663466,88,12.362599,0.300866,1,11.052015,6.622261,1.116760,rrt_star,shortest distance
mixed_shapes,16,True,False,10.019117,12.698781,87,12.398062,0.300718,1,11.017006,6.304065,1.097323,rrt_star,shortest distance
mixed_shapes,19,True,False,10.004742,12.560964,87,12.260140,0.300824,2,10.923839,6.731746,1.126280,rrt_star,shortest distance
mixed_shapes,22,True,False,10.004347,13.253756,91,12.680158,0.573599,2,11.532731,6.804722,1.174745,rrt_star,shortest distance
mixed_shapes,25,True,False,10.000660,12.628397,89,12.303827,0.324570,2,10.877358,6.681524,1.123800,rrt_star,shortest distance
mixed_shapes,28,True,False,10.003297,12.732351,89,12.394535,0.337816,2,10.725202,6.343919,1.101082,rrt_star,shortest distance
mixed_shapes,31,True,False,10.012149,12.759081,89,12.458281,0.300800,2,10.986783,6.758390,1.135034,rrt_star,shortest distance
mixed_shapes,34,True,False,10.002167,12.452254,86,12.151588,0.300666,1,10.750321,6.718927,1.106717,rrt_star,shortest distance
mixed_shapes,1,True,False,10.038361,13.479364,96,13.147894,0.331470,2,11.159632,6.466736,1.142205,rrt_star,fastest time
mixed_shapes,4,True,False,10.020321,15.349220,105,5.257537,10.091683,3,15.251824,8.297699,1.647240,rrt_star,fastest time
mixed_shapes,7,True,False,10.000874,13.334469,95,12.860944,0.473525,4,11.850317,6.710640,1.200232,rrt_star,fastest time
mixed_shapes,10,True,False,10.031920,13.803190,96,13.049323,0.753867,3,12.210531,6.688623,1.218843,rrt_star,fastest time
mixed_shapes,13,True,False,10.054024,12.737994,89,12.397001,0.340993,2,10.921062,6.861684,1.139208,rrt_star,fastest time
mixed_shapes,16,True,False,10.004927,14.149954,100,13.506735,0.643219,6,12.493698,6.926775,1.279499,rrt_star,fastest time
mixed_shapes,19,False,True,10.029717,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
mixed_shapes,22,True,False,10.029004,13.828490,96,13.262988,0.565502,2,12.095965,7.091379,1.225864,rrt_star,fastest time
mixed_shapes,25,True,False,10.049350,12.905780,89,12.397998,0.507782,2,11.664478,6.500754,1.151102,rrt_star,fastest time
mixed_shapes,28,True,False,10.055087,13.694128,95,13.157695,0.536433,3,12.167215,6.413140,1.193723,rrt_star,fastest time
mixed_shapes,31,True,False,10.021291,13.924760,98,13.272576,0.652184,2,11.522115,7.139899,1.212831,rrt_star,fastest time
